--- Log started at 2025-06-06 10:07:58 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:07:59 | No objects detected
2025-06-06 10:08:00 | No objects detected
2025-06-06 10:08:01 | No objects detected
2025-06-06 10:08:02 | No objects detected
2025-06-06 10:08:03 | No objects detected
2025-06-06 10:08:04 | Cam 1 | Person 1, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 1 | Person 2, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 1 | Person 3, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 1 | Person 4, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 1 | Person 5, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 1 | Person 6, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 1 | Person 7, Distance: 200.27 cm
2025-06-06 10:08:04 | Cam 2 | Person 1, Distance: 285.46 cm
2025-06-06 10:08:04 | Cam 2 | Person 2, Distance: 285.46 cm
2025-06-06 10:08:04 | Cam 2 | Person 3, Distance: 285.46 cm
2025-06-06 10:08:04 | Cam 2 | Person 4, Distance: 285.46 cm
2025-06-06 10:08:04 | Cam 2 | Person 5, Distance: 285.46 cm
2025-06-06 10:08:04 | Cam 2 | Person 6, Distance: 285.46 cm
2025-06-06 10:08:04 | Cam 2 | Person 7, Distance: 285.46 cm
2025-06-06 10:08:05 | Cam 1 | Person 1, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 2, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 3, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 4, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 5, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 6, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 7, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 8, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 9, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 10, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 11, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 1 | Person 12, Distance: 204.71 cm
2025-06-06 10:08:05 | Cam 2 | Person 1, Distance: 265.51 cm
2025-06-06 10:08:05 | Cam 2 | Person 2, Distance: 265.51 cm
2025-06-06 10:08:05 | Cam 2 | Person 3, Distance: 265.51 cm
2025-06-06 10:08:05 | Cam 2 | Person 4, Distance: 265.51 cm
2025-06-06 10:08:05 | Cam 2 | Person 5, Distance: 265.51 cm
2025-06-06 10:08:05 | Cam 2 | Person 6, Distance: 265.51 cm
2025-06-06 10:08:05 | Cam 2 | Person 7, Distance: 265.51 cm
