--- Log started at 2025-06-06 10:11:12 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:11:13 | No objects detected
2025-06-06 10:11:14 | No objects detected
2025-06-06 10:11:15 | No objects detected
2025-06-06 10:11:16 | No objects detected
2025-06-06 10:11:17 | Cam 1 | Person 1, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 1 | Person 2, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 1 | Person 3, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 1 | Person 4, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 1 | Person 5, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 1 | Person 6, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 1 | Person 7, Distance: 221.81 cm
2025-06-06 10:11:17 | Cam 2 | Person 1, Distance: 282.09 cm
2025-06-06 10:11:17 | Cam 2 | Person 2, Distance: 282.09 cm
2025-06-06 10:11:17 | Cam 2 | Person 3, Distance: 282.09 cm
2025-06-06 10:11:17 | Cam 2 | Person 4, Distance: 282.09 cm
2025-06-06 10:11:18 | Cam 1 | Person 1, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 2, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 3, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 4, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 5, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 6, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 7, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 8, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 9, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 10, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 11, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 1 | Person 12, Distance: 224.66 cm
2025-06-06 10:11:18 | Cam 2 | Person 1, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 2, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 3, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 4, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 5, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 6, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 7, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 8, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 9, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 10, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 11, Distance: 279.28 cm
2025-06-06 10:11:18 | Cam 2 | Person 12, Distance: 279.28 cm
2025-06-06 10:11:19 | Cam 1 | Person 1, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 2, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 3, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 4, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 5, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 6, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 7, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 8, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 9, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 10, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 1 | Person 11, Distance: 225.65 cm
2025-06-06 10:11:19 | Cam 2 | Person 1, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 2, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 3, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 4, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 5, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 6, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 7, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 8, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 9, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 10, Distance: 266.56 cm
2025-06-06 10:11:19 | Cam 2 | Person 11, Distance: 266.56 cm
2025-06-06 10:11:20 | Cam 1 | Person 1, Distance: 234.96 cm
