--- Log started at 2025-06-06 10:16:15 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length 600.0.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length 600.0.
2025-06-06 10:16:16 | No objects detected
2025-06-06 10:16:17 | No objects detected
2025-06-06 10:16:18 | No objects detected
2025-06-06 10:16:19 | No objects detected
2025-06-06 10:16:20 | Cam 1 | Person 1, Distance: 171.64 cm
2025-06-06 10:16:20 | Cam 1 | Person 2, Distance: 171.64 cm
2025-06-06 10:16:20 | Cam 1 | Person 3, Distance: 171.64 cm
2025-06-06 10:16:20 | Cam 1 | Person 4, Distance: 171.64 cm
2025-06-06 10:16:20 | Cam 2 | Person 1, Distance: 307.31 cm
2025-06-06 10:16:20 | Cam 2 | Person 2, Distance: 307.31 cm
2025-06-06 10:16:20 | Cam 2 | Person 3, Distance: 307.31 cm
2025-06-06 10:16:20 | Cam 2 | Person 4, Distance: 307.31 cm
2025-06-06 10:16:21 | Cam 1 | Person 1, Distance: 163.27 cm
2025-06-06 10:16:21 | Cam 1 | Person 2, Distance: 163.27 cm
2025-06-06 10:16:21 | Cam 1 | Person 3, Distance: 163.27 cm
2025-06-06 10:16:21 | Cam 1 | Person 4, Distance: 163.27 cm
2025-06-06 10:16:21 | Cam 1 | Person 5, Distance: 163.27 cm
2025-06-06 10:16:21 | Cam 1 | Person 6, Distance: 163.27 cm
2025-06-06 10:16:21 | Cam 2 | Person 1, Distance: 230.68 cm
2025-06-06 10:16:21 | Cam 2 | Person 2, Distance: 230.68 cm
2025-06-06 10:16:21 | Cam 2 | Person 3, Distance: 230.68 cm
2025-06-06 10:16:21 | Cam 2 | Person 4, Distance: 230.68 cm
2025-06-06 10:16:21 | Cam 2 | Person 5, Distance: 230.68 cm
2025-06-06 10:16:21 | Cam 2 | Person 6, Distance: 230.68 cm
2025-06-06 10:16:22 | Cam 1 | Person 1, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 2, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 3, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 4, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 5, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 6, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 7, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 8, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 1 | Person 9, Distance: 155.61 cm
2025-06-06 10:16:22 | Cam 2 | Person 1, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 2, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 3, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 4, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 5, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 6, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 7, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 8, Distance: 228.95 cm
2025-06-06 10:16:22 | Cam 2 | Person 9, Distance: 228.95 cm
2025-06-06 10:16:23 | Cam 1 | Person 1, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 2, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 3, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 4, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 5, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 6, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 7, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 8, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 9, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 10, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 11, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 1 | Person 12, Distance: 154.92 cm
2025-06-06 10:16:23 | Cam 2 | Person 1, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 2, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 3, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 4, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 5, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 6, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 7, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 8, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 9, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 10, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 11, Distance: 215.85 cm
2025-06-06 10:16:23 | Cam 2 | Person 12, Distance: 215.85 cm
2025-06-06 10:16:24 | Cam 1 | Person 1, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 2, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 3, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 4, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 5, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 6, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 7, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 8, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 9, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 10, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 11, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 1 | Person 12, Distance: 165.01 cm
2025-06-06 10:16:24 | Cam 2 | Person 1, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 2, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 3, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 4, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 5, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 6, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 7, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 8, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 9, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 10, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 11, Distance: 228.58 cm
2025-06-06 10:16:24 | Cam 2 | Person 12, Distance: 228.58 cm
2025-06-06 10:16:25 | Cam 1 | Person 1, Distance: 166.06 cm
2025-06-06 10:16:25 | Cam 1 | Person 2, Distance: 166.06 cm
2025-06-06 10:16:25 | Cam 1 | Person 3, Distance: 166.06 cm
2025-06-06 10:16:25 | Cam 1 | Person 4, Distance: 166.06 cm
2025-06-06 10:16:25 | Cam 1 | Person 5, Distance: 166.06 cm
2025-06-06 10:16:25 | Cam 2 | Person 1, Distance: 227.28 cm
2025-06-06 10:16:25 | Cam 2 | Person 2, Distance: 227.28 cm
2025-06-06 10:16:25 | Cam 2 | Person 3, Distance: 227.28 cm
2025-06-06 10:16:25 | Cam 2 | Person 4, Distance: 227.28 cm
2025-06-06 10:16:25 | Cam 2 | Person 5, Distance: 227.28 cm
2025-06-06 10:16:26 | Cam 1 | Person 1, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 2, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 3, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 4, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 5, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 6, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 7, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 1 | Person 8, Distance: 166.86 cm
2025-06-06 10:16:26 | Cam 2 | Person 1, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 2, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 3, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 4, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 5, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 6, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 7, Distance: 227.68 cm
2025-06-06 10:16:26 | Cam 2 | Person 8, Distance: 227.68 cm
2025-06-06 10:16:27 | Cam 1 | Person 1, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 1 | Person 2, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 1 | Person 3, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 1 | Person 4, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 1 | Person 5, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 1 | Person 6, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 1 | Person 7, Distance: 166.78 cm
2025-06-06 10:16:27 | Cam 2 | Person 1, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 2, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 3, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 4, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 5, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 6, Distance: 228.68 cm
2025-06-06 10:16:27 | Cam 2 | Person 7, Distance: 228.68 cm
2025-06-06 10:16:28 | Cam 1 | Person 1, Distance: 154.64 cm
2025-06-06 10:16:28 | Cam 1 | Person 2, Distance: 154.64 cm
