--- Log started at 2025-06-06 17:21:04 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
2025-06-06 17:21:05 | No objects detected
2025-06-06 17:21:06 | No objects detected
2025-06-06 17:21:07 | Cam 2 | Person 1, Distance: 24.92 cm
2025-06-06 17:21:07 | Cam 2 | Person 2, Distance: 24.92 cm
2025-06-06 17:21:07 | Cam 2 | Person 3, Distance: 24.92 cm
2025-06-06 17:21:07 | Cam 2 | Person 4, Distance: 24.92 cm
2025-06-06 17:21:07 | Cam 2 | Person 5, Distance: 24.92 cm
2025-06-06 17:21:07 | Cam 2 | Person 6, Distance: 24.92 cm
2025-06-06 17:21:08 | Cam 2 | Person 1, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 2, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 3, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 4, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 5, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 6, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 7, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 8, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 9, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 10, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 11, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 12, Distance: 24.88 cm
2025-06-06 17:21:08 | Cam 2 | Person 13, Distance: 24.88 cm
2025-06-06 17:21:09 | Cam 2 | Person 1, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 2, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 3, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 4, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 5, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 6, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 7, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 8, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 9, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 10, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 11, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 12, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 13, Distance: 24.73 cm
2025-06-06 17:21:09 | Cam 2 | Person 14, Distance: 24.73 cm
2025-06-06 17:21:10 | Cam 2 | Person 1, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 2, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 3, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 4, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 5, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 6, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 7, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 8, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 9, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 10, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 11, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 12, Distance: 24.95 cm
2025-06-06 17:21:10 | Cam 2 | Person 13, Distance: 24.95 cm
2025-06-06 17:21:11 | Cam 2 | Person 1, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 2, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 3, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 4, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 5, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 6, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 7, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 8, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 9, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 10, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 11, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 12, Distance: 24.96 cm
2025-06-06 17:21:11 | Cam 2 | Person 13, Distance: 24.96 cm
2025-06-06 17:21:12 | Cam 2 | Person 1, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 2, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 3, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 4, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 5, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 6, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 7, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 8, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 9, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 10, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 11, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 12, Distance: 25.12 cm
2025-06-06 17:21:12 | Cam 2 | Person 13, Distance: 25.12 cm
