--- Log started at 2025-06-06 17:31:51 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
2025-06-06 17:31:52 | No objects detected
2025-06-06 17:31:53 | No objects detected
2025-06-06 17:31:54 | No objects detected
2025-06-06 17:31:55 | No objects detected
2025-06-06 17:31:56 | No objects detected
2025-06-06 17:31:57 | Cam 1 | Person 1, Distance: 19.66 cm
2025-06-06 17:31:57 | Cam 1 | Person 2, Distance: 19.66 cm
2025-06-06 17:31:57 | Cam 1 | Person 3, Distance: 19.66 cm
2025-06-06 17:31:57 | Cam 1 | Person 4, Distance: 19.66 cm
2025-06-06 17:31:57 | Cam 1 | Person 5, Distance: 19.66 cm
2025-06-06 17:31:57 | Cam 1 | Person 6, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 1, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 2, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 3, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 4, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 5, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 6, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 7, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 8, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 9, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 10, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 11, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 12, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 1 | Person 13, Distance: 19.66 cm
2025-06-06 17:31:58 | Cam 2 | Person 1, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 2, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 3, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 4, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 5, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 6, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 7, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 8, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 9, Distance: 36.2 cm
2025-06-06 17:31:58 | Cam 2 | Person 10, Distance: 36.2 cm
2025-06-06 17:31:59 | Cam 1 | Person 1, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 2, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 3, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 4, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 5, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 6, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 7, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 8, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 9, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 10, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 11, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 1 | Person 12, Distance: 19.68 cm
2025-06-06 17:31:59 | Cam 2 | Person 1, Distance: 22.22 cm
2025-06-06 17:31:59 | Cam 2 | Person 2, Distance: 22.22 cm
2025-06-06 17:31:59 | Cam 2 | Person 3, Distance: 22.22 cm
2025-06-06 17:31:59 | Cam 2 | Person 4, Distance: 22.22 cm
2025-06-06 17:31:59 | Cam 2 | Person 5, Distance: 22.22 cm
2025-06-06 17:31:59 | Cam 2 | Person 6, Distance: 22.22 cm
