--- Log started at 2025-06-06 17:37:53 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
2025-06-06 17:37:54 | No objects detected
2025-06-06 17:37:55 | No objects detected
2025-06-06 17:37:56 | No objects detected
2025-06-06 17:37:57 | Cam 1 | Person 1, Distance: 19.7 cm
2025-06-06 17:37:58 | Cam 1 | Person 1, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 2, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 3, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 4, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 5, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 6, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 7, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 8, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 9, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 10, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 11, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 12, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 13, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 14, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 15, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 16, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 17, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 1 | Person 18, Distance: 20.0 cm
2025-06-06 17:37:58 | Cam 2 | Person 1, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 2, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 3, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 4, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 5, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 6, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 7, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 8, Distance: 34.66 cm
2025-06-06 17:37:58 | Cam 2 | Person 9, Distance: 34.66 cm
2025-06-06 17:37:59 | Cam 1 | Person 1, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 2, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 3, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 4, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 5, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 6, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 7, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 8, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 9, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 10, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 11, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 12, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 13, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 14, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 15, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 16, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 17, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 18, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 1 | Person 19, Distance: 19.87 cm
2025-06-06 17:37:59 | Cam 2 | Person 1, Distance: 28.65 cm
2025-06-06 17:37:59 | Cam 2 | Person 2, Distance: 28.65 cm
2025-06-06 17:37:59 | Cam 2 | Person 3, Distance: 28.65 cm
