--- Log started at 2025-06-06 17:52:13 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
Cam 3 Focal Length: 111.11 pixels
Cam 4 Focal Length: 111.11 pixels
2025-06-06 17:52:14 | No objects detected
2025-06-06 17:52:15 | No objects detected
2025-06-06 17:52:16 | No objects detected
2025-06-06 17:52:17 | No objects detected
2025-06-06 17:52:18 | No objects detected
2025-06-06 17:52:19 | No objects detected
2025-06-06 17:52:20 | Cam 1 | Person 1, Distance: 20.0 cm
2025-06-06 17:52:20 | Cam 1 | Person 2, Distance: 20.0 cm
2025-06-06 17:52:20 | Cam 1 | Person 3, Distance: 20.0 cm
2025-06-06 17:52:20 | Cam 1 | Person 4, Distance: 20.0 cm
2025-06-06 17:52:20 | Cam 1 | Person 5, Distance: 20.0 cm
2025-06-06 17:52:20 | Cam 1 | Person 6, Distance: 20.0 cm
2025-06-06 17:52:20 | Cam 2 | Person 1, Distance: 19.62 cm
2025-06-06 17:52:20 | Cam 2 | Person 2, Distance: 19.62 cm
2025-06-06 17:52:20 | Cam 2 | Person 3, Distance: 19.62 cm
2025-06-06 17:52:20 | Cam 2 | Person 4, Distance: 19.62 cm
2025-06-06 17:52:20 | Cam 2 | Person 5, Distance: 19.62 cm
2025-06-06 17:52:20 | Cam 2 | Person 6, Distance: 19.62 cm
2025-06-06 17:52:20 | Cam 4 | Person 1, Distance: 66.37 cm
2025-06-06 17:52:20 | Cam 4 | Person 2, Distance: 66.37 cm
2025-06-06 17:52:20 | Cam 4 | Person 3, Distance: 66.37 cm
2025-06-06 17:52:21 | Cam 1 | Person 1, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 2, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 3, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 4, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 5, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 6, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 7, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 8, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 9, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 10, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 11, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 12, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 13, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 14, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 1 | Person 15, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 1, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 2, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 3, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 4, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 5, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 6, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 7, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 8, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 9, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 10, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 11, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 12, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 13, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 14, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 2 | Person 15, Distance: 19.81 cm
2025-06-06 17:52:21 | Cam 3 | Person 1, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 2, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 3, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 4, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 5, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 6, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 7, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 8, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 9, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 10, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 3 | Person 11, Distance: 31.44 cm
2025-06-06 17:52:21 | Cam 4 | Person 1, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 2, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 3, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 4, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 5, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 6, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 7, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 8, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 9, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 10, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 11, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 12, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 13, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 14, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 15, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 16, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 17, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 18, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 19, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 20, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 21, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 22, Distance: 49.02 cm
2025-06-06 17:52:21 | Cam 4 | Person 23, Distance: 49.02 cm
2025-06-06 17:52:22 | Cam 1 | Person 1, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 2, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 3, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 4, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 5, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 6, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 7, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 8, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 9, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 10, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 11, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 1 | Person 12, Distance: 20.1 cm
2025-06-06 17:52:22 | Cam 2 | Person 1, Distance: 20.18 cm
2025-06-06 17:52:22 | Cam 2 | Person 2, Distance: 20.18 cm
